factor,level,rep,shannon,renyi2,simpson,hhi,participation,apg_entropy_norm,apg_cmax,apg_c2,apg_neff,apg_pr,apg_d_2_25,apg_d_2_5,apg_d_3_0,apg_d_4_0,apg_d_5_0,apg_d_6_0,apg_integrated_2_6
multimodality,0.75,44,4.536905971317265,4.319406665611535,0.9866922228377425,0.013307777162257556,75.1440295255352,0.8159395902673913,0.08429949750312007,0.029573265026109505,52.402986580169284,33.814325172317794,0.3849127442566517,0.615453188392136,0.8433311852865193,0.9704267349738905,0.9936776473091741,0.9985242233590835,3.4228880146387093
multimodality,0.75,45,4.542007082786046,4.338210055716648,0.986940116241095,0.013059883758904985,76.57035992514601,0.8272900625369843,0.05677379121092625,0.025685918638577058,55.36991637112679,38.9318370921772,0.3899537922191124,0.6227666769420972,0.8508822421262889,0.974314081361423,0.9951680052124771,0.9990363287814096,3.438187884467386
multimodality,0.75,46,4.45391628240483,4.222152573373894,0.9853329613766992,0.01466703862330081,68.18008908841902,0.7925923818696122,0.08707648448103436,0.033976115482827744,46.79059512136678,29.43244057742332,0.3758741955181455,0.6037095106482679,0.833001906758055,0.9660238845171722,0.9921865274184082,0.9980633335092665,3.402353124131392
multimodality,0.75,47,4.503989471427721,4.275664272950691,0.9860971896099904,0.013902810390009655,71.9279032042696,0.803770575129004,0.11183224079279613,0.03312007559192723,49.39845536420755,30.193167803147844,0.3800268806870476,0.6088277996032442,0.8368669728112992,0.9668799244080728,0.9921015753140255,0.9978854787532766,3.4088916137301895
multimodality,0.75,48,4.4863008677029415,4.2480390288501955,0.9857077668959977,0.01429223310400232,69.9680723595178,0.7967541569800425,0.06994221498105983,0.031627008026145174,47.745044554163314,31.618545743350985,0.3776599392002129,0.6064030582269957,0.8362881967920877,0.9683729919738548,0.9932996701269949,0.9984987710250379,3.4099543268426116
multimodality,0.75,49,4.506445035027912,4.295156925483166,0.9863655680604261,0.013634431939573931,73.34372304117983,0.8165544349930085,0.059668233262026346,0.027023251716609256,52.55955095805508,37.005169122018415,0.3858822167096905,0.6176440781674077,0.8467822290910046,0.9729767482833908,0.9948395094168431,0.9989648158794412,3.430472420948408
multimodality,0.75,50,4.50039974865203,4.301946147051586,0.9864578217201972,0.013542178279802749,73.84336399494602,0.8216397660166636,0.06443638856891756,0.02719778160301077,53.87254671382152,36.767704609014906,0.3877993875862059,0.6199001450802457,0.8480680178311468,0.9728022183969892,0.9945787898455736,0.9988408535613844,3.432264849698259
multimodality,0.75,51,4.529564450268827,4.328684611754324,0.9868151206761823,0.01318487932381775,75.84445601966792,0.8255547795571323,0.06252371568898464,0.026313911303560294,54.905678404058015,38.00271227123499,0.38919661026258,0.6216472304515533,0.8496652646397618,0.9736860886964397,0.9949527085350289,0.9989735282221768,3.4357913738073558
multimodality,0.75,52,4.4879013088534325,4.25398227715168,0.9857924572688728,0.014207542731127277,70.38514815155415,0.7937950273470327,0.14653233668510196,0.039373230168006326,47.06442915384271,25.3979669875441,0.37535713924287206,0.6015850895484078,0.828140960979983,0.9606267698319937,0.988782793722315,0.9963250866799449,3.388111521020639
multimodality,0.75,53,4.5066004325513305,4.301029906293863,0.9864454081384626,0.01355459186153739,73.77573668134809,0.817309348491443,0.07309770858017536,0.028234961930295906,52.75242241520558,35.417083347543226,0.38583297612066714,0.6170798597945882,0.8453872581115498,0.971765038069704,0.9942987731459771,0.998773079232015,3.4273539858684883
multimodality,0.75,54,4.517758291772726,4.322699549374842,0.9867359717315437,0.013264028268456341,75.39187792429999,0.8247758357338755,0.09715071408252444,0.02841179280698832,54.69855629473483,35.19665255879363,0.38862408396172,0.6204101627737046,0.8474505097267571,0.9715882071930116,0.993832041350807,0.9984982069076562,3.430067066323284
multimodality,0.75,55,4.481040052836438,4.257035520990381,0.9858357702050539,0.014164229794946151,70.60037958129803,0.8006605433902039,0.12114498180199636,0.034110847810839,48.658630254887676,29.31618720078373,0.3788021618144153,0.6071728280419253,0.8352260360745933,0.965889152189161,0.9915825913914512,0.9976333588301551,3.405098301020961
multimodality,0.75,56,4.5199036676983155,4.315901457766919,0.9866454944643523,0.01335450553564766,74.88109517275569,0.8222741587194201,0.07422924662396067,0.027297824411655743,54.03862687475382,36.63295597919575,0.3879104498207808,0.6199244554487022,0.8479702763985433,0.9727021755883443,0.9945138075322072,0.9988062348042113,3.4320460910700232
multimodality,0.75,57,4.509318256220123,4.305094059655791,0.9865003842871249,0.013499615712875102,74.07618270542231,0.8180701054711481,0.091147763089642,0.029428971950587232,52.94750281544653,33.98012005580935,0.38594053562166564,0.6168869897859137,0.844454260566356,0.9705710280494128,0.9936125490533486,0.99847580295989,3.4245799290826073
multimodality,0.75,58,4.523820821030412,4.325050139867171,0.9867671134152698,0.013232886584730225,75.56930179949178,0.8282635475655188,0.0591864458439105,0.024611997041537596,55.63206809493463,40.63059158963423,0.39072285958837716,0.6242162368329713,0.8527720611111556,0.9753880029584624,0.9955530088095262,0.9991514043546315,3.4418575634881297
multimodality,0.75,59,4.463939241769245,4.193455643905236,0.9849059649635529,0.015094035036447174,66.25133687481576,0.7686062140975078,0.1330177209691467,0.04354949318107828,41.64996848033056,22.962379742101977,0.3650435769813085,0.5877817723026773,0.8160578139220919,0.9564505068189217,0.9879828140225584,0.9963588512267989,3.3663351657552796
multimodality,0.75,60,4.482219469295254,4.238224712391762,0.9855668078203685,0.01443319217963148,69.2847422492689,0.7890346435672352,0.11213110853571825,0.03693540516126788,45.98981550308823,27.074293503314397,0.37382091000164475,0.6002145179758416,0.8285894962336097,0.9630645948387321,0.9907683190301817,0.9974633755638953,3.3925423955674203
multimodality,0.75,61,4.5331841235895,4.343719161152885,0.9870118666958275,0.012988133304172506,76.99335821250524,0.8328658556844432,0.05528598813939535,0.024762508765362897,56.88833649266238,40.38363032903887,0.39221611764291486,0.625735311457452,0.8533862297736676,0.9752374912346371,0.995451357406403,0.9991196017144183,3.4429930930357733
multimodality,0.75,62,4.519219403137598,4.289513564598109,0.9862884065201026,0.013711593479897394,72.93098365744507,0.8026258419084974,0.118513776310214,0.035363454702465644,49.12484306329374,28.27778022293385,0.37896467113077215,0.6066498305533284,0.8336594033434777,0.9646365452975344,0.9910911240428255,0.9974893137724854,3.401951732974402
multimodality,0.75,63,4.491095987999056,4.226902153481089,0.9854024584799006,0.014597541520099417,68.50468612286714,0.776068747009224,0.1649399051988271,0.046145929279297025,43.18568382428555,21.670383837055837,0.3675874002961621,0.5903948483420454,0.8164683079711066,0.9538540707207029,0.9855525099182161,0.9948573902267954,3.3624814249329544
multimodality,0.75,64,4.456805871234095,4.198236320077526,0.9849779524456698,0.015022047554330238,66.56882135296361,0.7776744515004451,0.09165142274559533,0.03782533522814205,43.5234543895365,26.43730700517361,0.369517998028841,0.5948755544008534,0.8245846636251578,0.962174664771858,0.9908022148569364,0.9975990216961278,3.3856727206032566
multimodality,0.75,65,4.522297850205184,4.299890352138609,0.9864299531427542,0.013570046857245801,73.69171311784903,0.8122761188744669,0.06559637363683818,0.028753053098105653,51.47973893066081,34.778915358587895,0.3838107763521692,0.6144932546937723,0.8433983727055984,0.9712469469018944,0.9942102174242432,0.9987643433052948,3.4237757801061903
multimodality,0.75,66,4.534569713907857,4.344904312968245,0.987027250487726,0.012972749512274036,77.08466112398015,0.8315599656069255,0.06761058835811684,0.025648750731925272,56.52901913960873,38.98825367565717,0.3914751472054394,0.6244792938010945,0.8518432551688779,0.9743512492680747,0.9951155800745347,0.9990105674189973,3.439903076405537
multimodality,0.75,67,4.545794591194811,4.346611453712625,0.9870493779043039,0.012950622095696073,77.21636787874897,0.8264398995699108,0.07288775852943118,0.028193753506410135,55.14198498906147,35.4688495014557,0.38896214310598876,0.6205668202732031,0.8473955009107907,0.9718062464935898,0.9941033530151455,0.9986665574044712,3.430742597273012
multimodality,0.75,68,4.441159105761049,4.112297964715257,0.9836298866720004,0.01637011332799969,61.08693201833392,0.7228699321974562,0.22794933186729097,0.07241111206369431,33.36097447347765,13.810035110638534,0.3438813690448985,0.5553423591991129,0.7773903226148866,0.9275888879363057,0.9710495278413747,0.9872517142624934,3.269530741830984
multimodality,0.75,69,4.540722382939633,4.333852941996721,0.986883088694856,0.013116911305143999,76.23745992760952,0.8221762113185811,0.07613962170473941,0.02840806162603938,54.01295145642751,35.20127536907977,0.38739347403978963,0.6186942196658552,0.8461230299658606,0.9715919383739606,0.9941142395894745,0.9986861406727489,3.428500221658848
