fold,cell_type,feature,coefficient,abs_coefficient
1,Dendritic,detected,2.733044780119793,2.733044780119793
1,Dendritic,program_shannon,1.7940429605449133,1.7940429605449133
1,Dendritic,program_renyi2,0.10101743002574556,0.10101743002574556
1,Dendritic,program_simpson,-0.6387415784823711,0.6387415784823711
1,Dendritic,program_hhi,0.6387435142231221,0.6387435142231221
1,Dendritic,program_participation,-1.9629814540799184,1.9629814540799184
1,Dendritic,program_gini,0.4670290771201102,0.4670290771201102
1,Dendritic,program_detected,0.0,0.0
1,Dendritic,apg_entropy_norm,-0.359270939445281,0.359270939445281
1,Dendritic,apg_cmax,-0.45233358970146653,0.45233358970146653
1,Dendritic,apg_c2,-1.6004987844376695,1.6004987844376695
1,Dendritic,apg_neff,-2.7386235578994467,2.7386235578994467
1,Dendritic,apg_pr,-0.3734590776316619,0.3734590776316619
1,Dendritic,apg_d_2_25,-0.36445302943041585,0.36445302943041585
1,Dendritic,apg_d_2_5,-0.24889961539467376,0.24889961539467376
1,Dendritic,apg_d_3_0,0.2654346598889974,0.2654346598889974
1,Dendritic,apg_d_4_0,1.6004987844317495,1.6004987844317495
1,Dendritic,apg_d_5_0,1.6472450821232132,1.6472450821232132
1,Dendritic,apg_d_6_0,-1.018858162742764,1.018858162742764
1,Dendritic,apg_integrated_2_6,-0.027438105022655083,0.027438105022655083
1,Dendritic,program_apg_entropy_norm,0.5055304121385013,0.5055304121385013
1,Dendritic,program_apg_cmax,4.822594354370522,4.822594354370522
1,Dendritic,program_apg_c2,-1.0538626642739115,1.0538626642739115
1,Dendritic,program_apg_neff,0.49274114176310335,0.49274114176310335
1,Dendritic,program_apg_pr,0.7716478409764782,0.7716478409764782
1,Dendritic,program_apg_d_2_25,0.9831890146256318,0.9831890146256318
1,Dendritic,program_apg_d_2_5,1.349800645187594,1.349800645187594
1,Dendritic,program_apg_d_3_0,1.6838043275256325,1.6838043275256325
1,Dendritic,program_apg_d_4_0,1.0538635254901658,1.0538635254901658
1,Dendritic,program_apg_d_5_0,-0.39969233190548964,0.39969233190548964
1,Dendritic,program_apg_d_6_0,-1.9843210020767736,1.9843210020767736
1,Dendritic,program_apg_integrated_2_6,0.08793706305144386,0.08793706305144386
1,FCGR3A monocyte,shannon,0.5353734794635184,0.5353734794635184
1,FCGR3A monocyte,renyi2,0.2387570728679655,0.2387570728679655
1,FCGR3A monocyte,simpson,1.0833173475325382,1.0833173475325382
1,FCGR3A monocyte,hhi,-1.0833173475287836,1.0833173475287836
1,FCGR3A monocyte,participation,0.4744419474218842,0.4744419474218842
1,FCGR3A monocyte,gini,3.5611730923494704,3.5611730923494704
1,FCGR3A monocyte,detected,-0.7511253715858799,0.7511253715858799
1,FCGR3A monocyte,program_shannon,1.2443899333054584,1.2443899333054584
1,FCGR3A monocyte,program_renyi2,1.143101436106925,1.143101436106925
1,FCGR3A monocyte,program_simpson,-0.43025480699400753,0.43025480699400753
1,FCGR3A monocyte,program_hhi,0.43025384999949773,0.43025384999949773
1,FCGR3A monocyte,program_participation,0.16037447478375502,0.16037447478375502
1,FCGR3A monocyte,program_gini,1.142476022306712,1.142476022306712
1,FCGR3A monocyte,program_detected,0.0,0.0
1,FCGR3A monocyte,apg_entropy_norm,-0.11810636342831254,0.11810636342831254
1,FCGR3A monocyte,apg_cmax,0.4118740361065391,0.4118740361065391
1,FCGR3A monocyte,apg_c2,1.026912178204319,1.026912178204319
1,FCGR3A monocyte,apg_neff,2.234200673720542,2.234200673720542
1,FCGR3A monocyte,apg_pr,3.6457425126417062,3.6457425126417062
1,FCGR3A monocyte,apg_d_2_25,-0.346652322902829,0.346652322902829
1,FCGR3A monocyte,apg_d_2_5,-0.5610992457238085,0.5610992457238085
1,FCGR3A monocyte,apg_d_3_0,-0.8958730624014283,0.8958730624014283
1,FCGR3A monocyte,apg_d_4_0,-1.0269121782042179,1.0269121782042179
1,FCGR3A monocyte,apg_d_5_0,-0.4348184747103778,0.4348184747103778
1,FCGR3A monocyte,apg_d_6_0,0.7737660584101778,0.7737660584101778
1,FCGR3A monocyte,apg_integrated_2_6,-0.6315628729766284,0.6315628729766284
1,FCGR3A monocyte,program_apg_entropy_norm,0.014001795576253983,0.014001795576253983
1,FCGR3A monocyte,program_apg_cmax,2.917659210694899,2.917659210694899
1,FCGR3A monocyte,program_apg_c2,-0.24667318319248877,0.24667318319248877
1,FCGR3A monocyte,program_apg_neff,-1.1724906848068033,1.1724906848068033
1,FCGR3A monocyte,program_apg_pr,3.1428873921687286,3.1428873921687286
1,FCGR3A monocyte,program_apg_d_2_25,0.22960019868070497,0.22960019868070497
1,FCGR3A monocyte,program_apg_d_2_5,0.4142461129722121,0.4142461129722121
1,FCGR3A monocyte,program_apg_d_3_0,0.5924579469478563,0.5924579469478563
1,FCGR3A monocyte,program_apg_d_4_0,0.24666836145975105,0.24666836145975105
1,FCGR3A monocyte,program_apg_d_5_0,-0.48086003949595435,0.48086003949595435
